Timestamp,Scenario,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,RunID,TimeStep,Prediction_FullDBN,Prediction_VanillaDBN,Prediction_RuleBased
2025-05-01 11:51:48.991125,Normal,Normal,OK,OK,0,65,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:49.991125,Normal,Normal,OK,OK,0,66,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:50.991125,Normal,Normal,OK,OK,0,67,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:51.991125,Normal,Normal,OK,OK,0,68,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:52.991125,Normal,Normal,OK,OK,0,69,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:51:53.991125,Normal,Normal,OK,OK,0,70,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:54.991125,Normal,Normal,OK,OK,0,71,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:55.991125,Normal,Normal,OK,OK,0,72,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:56.991125,Normal,Normal,OK,OK,0,73,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:57.991125,Normal,Normal,OK,OK,0,74,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:58.991125,Normal,Normal,OK,OK,0,75,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:59.991125,Normal,Normal,OK,OK,0,76,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:00.991125,Normal,Normal,OK,OK,0,77,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:01.991125,Normal,Normal,OK,OK,0,78,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:02.991125,Normal,Normal,OK,OK,0,79,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:03.991125,Normal,Normal,OK,OK,0,80,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:04.991125,Normal,Normal,OK,OK,0,81,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:05.991125,Normal,Normal,OK,OK,0,82,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:06.991125,Normal,Normal,OK,OK,0,83,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:07.991125,Normal,Normal,OK,OK,0,84,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:08.991125,Normal,Normal,OK,OK,0,85,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:09.991125,Normal,Normal,OK,OK,0,86,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:10.991125,Normal,Normal,OK,OK,0,87,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:11.991125,Normal,Normal,OK,OK,0,88,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:12.991125,Normal,Normal,OK,OK,0,89,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:13.991125,Normal,Normal,OK,OK,0,90,Normal_Predicted,BearingWear_Predicted,Normal_Predicted
2025-05-01 11:52:14.991125,Normal,Normal,OK,OK,0,91,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:15.991125,Normal,Normal,OK,OK,0,92,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:16.991125,Normal,Normal,OK,OK,0,93,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:17.991125,Normal,Normal,OK,OK,0,94,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:18.991125,Normal,Normal,OK,OK,0,95,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:19.991125,Normal,Normal,OK,OK,0,96,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:20.991125,Normal,Normal,OK,OK,0,97,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:21.991125,Normal,Normal,OK,OK,0,98,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:22.991125,Normal,Normal,OK,OK,0,99,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:23.991125,Normal,Normal,OK,OK,0,100,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:24.991125,Normal,Normal,OK,OK,0,101,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:25.991125,Normal,Normal,OK,OK,0,102,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:26.991125,Normal,Normal,OK,OK,0,103,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:27.991125,Normal,Normal,OK,OK,0,104,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:28.991125,Normal,Normal,OK,OK,0,105,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:29.991125,Normal,Normal,OK,OK,0,106,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:30.991125,Normal,Normal,OK,OK,0,107,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:52:31.991125,Normal,Normal,OK,OK,0,108,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:32.991125,Normal,Normal,OK,OK,0,109,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:33.991125,Normal,Normal,OK,OK,0,110,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:34.991125,Normal,Normal,OK,OK,0,111,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:35.991125,Normal,Normal,OK,OK,0,112,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:36.991125,Normal,Normal,OK,OK,0,113,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:37.991125,Normal,Normal,OK,OK,0,114,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:38.991125,Normal,Normal,OK,OK,0,115,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:39.991125,Normal,Normal,OK,OK,0,116,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:40.991125,Normal,Normal,OK,OK,0,117,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:41.991125,Normal,Normal,OK,OK,0,118,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:42.991125,Normal,Normal,OK,OK,0,119,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:43.991125,Normal,Normal,OK,OK,0,120,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:44.991125,Normal,Normal,OK,OK,0,121,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:45.991125,Normal,Normal,OK,OK,0,122,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:46.991125,Normal,Normal,OK,OK,0,123,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:47.991125,Normal,Normal,OK,OK,0,124,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:48.991125,Normal,Normal,OK,OK,0,125,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:49.991125,Normal,Normal,OK,OK,0,126,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:50.991125,Normal,Normal,OK,OK,0,127,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:51.991125,Normal,Normal,OK,OK,0,128,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:52.991125,Normal,Normal,OK,OK,0,129,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:53.991125,Normal,Normal,OK,OK,0,130,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:54.991125,Normal,Normal,OK,OK,0,131,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:55.991125,Normal,Normal,OK,OK,0,132,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:56.991125,Normal,Normal,OK,OK,0,133,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:57.991125,Normal,Normal,OK,OK,0,134,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:58.991125,Normal,Normal,OK,OK,0,135,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:52:59.991125,Normal,Normal,OK,OK,0,136,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
